stationnames,subwayCount,transferCount,tr,interchangeCount,intechangeDis,transferTime,transferDis,area,ob,ic
成寿寺,12583,1531,0.121672097,276.380796,279.3629518,812.02482,2782.595242,51.7256825,0.583774469,0.607724708
西局,11180,1537,0.137477639,272.308583,159.8989362,879.320844,3686.255473,177.5089141,0.481412799,0.47137746
旧宫,9222,1615,0.175124702,208.024163,157.9410965,664.693308,2860.097517,133.1651963,0.642057309,0.592387768
刘家窑,16118,1657,0.102804318,295.175618,134.2852154,785.345202,5139.781633,413.8216807,0.467646821,1.285147041
百子湾,12485,1668,0.13360032,493.754196,206.5808664,641.396882,2887.833444,32.64094446,0.576506469,0.761714057
太阳宫,15482,1686,0.108900659,268.313946,230.286257,863.243916,2522.929485,17.04238396,0.62961774,0.357059811
温阳路,5159,1699,0.329327389,251.968805,199.5145664,840.698057,3850.92182,73.88548926,0.732755638,1.065322737
望京西,14252,1842,0.129245018,278.409337,216.116154,2547.887079,23996.51066,1165.032219,0.84922023,0.39306764
回龙观,21842,1849,0.08465342,251.844965,172.271748,1147.029176,4404.583032,162.1076502,0.581760492,0.247779507
后沙峪,11222,1859,0.165656746,173.358988,163.4330379,1253.502473,9160.775316,327.0298833,0.70102249,0.41026555
俸伯,12407,1882,0.151688563,186.567481,78.70088283,1609.818278,11772.17662,1473.469205,0.256362922,0.477391795
牡丹园,18009,1883,0.104558832,249.255041,176.3190217,481.844602,1744.77739,26.68830989,0.559497294,0.891165528
朱辛庄,15952,1914,0.119984955,208.842215,136.5823656,1607.743991,10975.57082,1248.403903,0.804938127,0.233199599
通州北关,14715,1931,0.131226639,185.262558,450.2109928,920.987571,2253.137846,46.26136465,0.289675014,0.575603126
育新,13121,1964,0.149683713,189.279306,157.3658066,501.555555,1842.617141,39.43575412,0.376501169,1.055254935
西红门,17706,2022,0.114198577,327.543521,188.4333596,905.84817,3838.856581,169.6220418,0.627758634,0.511916864
张郭庄,6440,2037,0.316304348,132.810505,134.5586601,805.747668,3505.925351,100.533065,0.242413742,0.80621118
光熙门,8616,2063,0.239438254,175.29267,111.9716025,4661.129857,48412.34474,1208.044059,0.646217543,1.367455896
金安桥,11308,2130,0.188362221,236.535904,294.5399897,1065.828457,4187.407145,98.53106712,0.42436394,0.891934913
龙泽,19598,2144,0.109398918,375.738339,283.2447043,1031.890391,3286.204538,93.92592319,0.565481574,0.737422186
青年路,28116,2241,0.079705506,498.342224,295.1955885,844.256329,2661.778322,42.54039685,0.320734578,0.457639778
国贸,27092,2259,0.083382548,413.828685,274.1357255,3153.351925,25570.84514,1901.929281,0.666439685,1.60121069
四惠东,21565,2287,0.106051472,170.192289,147.469433,1298.02237,3427.878605,95.18297894,0.42343969,0.303825643
八角游乐园,14000,2366,0.169,181.954702,90.44288921,848.46031,2370.785537,41.54609125,0.34244667,1.030642857
立水桥南,14986,2434,0.162418257,145.833607,48.99291346,507.250205,1479.371212,26.35059724,0.141022876,0.835179501
玉泉路,16301,2514,0.154223667,193.168257,213.2401093,564.113365,1883.038515,37.38592299,0.573590179,1.265014416
长椿街,20642,2551,0.123582986,232.078885,176.0940931,1719.016875,11260.25869,639.5965702,0.832820515,0.611132642
北宫门,9189,2615,0.284579388,178.563621,238.4430659,1344.441385,4866.672244,169.0003954,0.53458496,0.862008924
物资学院路,18778,2693,0.143412504,320.02526,235.747487,1741.040118,6405.667695,107.5382312,0.842366487,0.498615401
海淀五路居,17724,2733,0.154197698,270.209594,229.3222316,788.399261,3060.192794,97.80207047,0.40720793,0.856804333
将台,24550,2783,0.113360489,302.850668,237.6383181,1039.533016,3411.785338,89.29652349,0.474085933,0.605906314
苹果园,14804,2792,0.188597676,195.265552,196.9106053,967.062597,3567.942232,109.8099646,0.620724259,0.698324777
土桥,15975,2845,0.178090767,242.756969,144.0376285,1350.939242,6347.602365,548.9944343,0.363282169,0.489264476
四惠,20460,2864,0.13998045,307.639008,283.1663474,1419.938577,6981.100129,278.4832849,0.696379974,1.208162268
宋家庄,33643,2928,0.087031478,87.184868,238.8873622,880.195823,3106.019075,51.29766557,0.488560997,0.388312576
霍营,26474,2946,0.111278991,257.015701,378.5138734,953.100837,2365.225552,30.16167967,0.382358073,0.24253985
草房,19405,3034,0.156351456,253.966051,100.0614944,2076.391891,9295.699515,282.9214562,0.67987528,0.653491368
回龙观东大街,17752,3136,0.176656151,245.757796,123.5622322,632.015592,1724.137628,22.15932725,0.273406052,0.706230284
三元桥,29200,3343,0.114486301,319.70927,217.5226106,1394.178217,6539.540094,219.7445927,0.697554176,0.323493151
天通苑,27832,3488,0.125323369,383.825974,342.4909634,714.698107,2119.563801,42.31831884,0.350179922,0.3325309
大望路,41076,3540,0.086181712,406.605597,310.5252197,3181.113655,22105.78366,690.398423,0.742679361,1.030455741
新宫,19406,3771,0.194321344,245.818618,105.1672405,707.85196,3336.127804,60.57180319,0.370375409,0.479284757
西直门,38986,3876,0.099420305,308.611311,278.2004315,745.641787,3090.461232,108.4503929,0.260482079,0.480941877
八宝山,17902,3987,0.222712546,85.140616,171.8594329,788.363239,3036.520709,102.8065592,0.343142393,0.971288124
十里河,30845,4583,0.148581618,239.802563,186.881416,1352.388351,5001.454427,151.8442548,0.515163154,0.704068731
积水潭,30160,5805,0.192473475,470.368348,433.9885885,3437.826537,33803.23398,1283.072522,0.857826091,0.976690981
东直门,42180,5866,0.13907065,478.505467,252.0681531,3800.157785,32160.8521,5586.837078,0.464414649,0.757112376
六里桥东,19161,6628,0.345910965,314.491701,114.5738883,3267.480537,28008.32728,2052.522275,0.676403076,3.117112886
天通苑北,35186,9664,0.274654692,418.643656,265.7660284,1219.230721,5331.701682,110.6698243,0.528532262,0.527226738
